citation_key,year,first_author,title,mechanisms,study_environment,location_during_passage,outcome_timing,delayed_window_h,confidence,notes
2020_Saylor,2020,Saylor,Within and Among Fish Species Differences in Simulated Turbine Blade Strike Mortality Limits on the Use of Surrogacy,collision,Lab - barotrauma chamber,Remained in barochamber,Immediate; Delayed; Sublethal,24,Mined,
2020_Tuononen,2020,Tuononen,Extent of injury and mortality arising from entrainment of fish through a Very Low Head hydropower turbine in,collision,Field - VLH turbine,Whole-route (not localised),Immediate; Delayed; Sublethal,48,Mined,
2021_Pflugrath,2021,Pflugrath,American eel resilience to simulated fluid shear associated with passage through hydroelectric turbines,shear,Lab - shear jet/flume,In shear jet/flume,Immediate; Delayed; Sublethal,48,Mined,
2021_Saylor,2021,Saylor,Creation of a prototype biomimetic fish to better understand impact trauma caused by hydropower turbine blade strikes,collision,Lab - blade-strike rig,At strike plate / blade (rig),Immediate,,Mined,
2021_Saylorb,2021,Saylor,Susceptibility of Riverine Fishes to Anthropogenically-linked Trauma Strikes from Hydropower Turbine Blades,collision,Lab - blade-strike rig,At strike plate / blade (rig),Immediate; Delayed; Sublethal,,Mined,
2021_Wood,2021,Wood,Leading edge topography of blades–a critical review,collision,Review / synthesis,Various / not applicable,Not reported,,Mined,
2022_Doyle,2022,Doyle,Survival estimates across five life stages of redfin (Perca fluviatilis) exposed to simulated pumped-storage hydropower,barotrauma; collision; shear,Lab - shear jet/flume,In shear jet/flume,Immediate; Delayed; Sublethal; Indirect,24,Mined,
2022_Meng,2022,Meng,Turbine blade strike tests for evaluation,collision,Lab - blade-strike rig,At strike plate / blade (rig),Immediate; Sublethal,,Mined,
2022_Mueller,2022,Mueller,Experimental comparison of fish mortality and injuries at innovative and conventional small hydropower plants,barotrauma; collision,Field - Kaplan turbine,Bypass / sluice / gate,Immediate; Delayed; Sublethal,,Mined,
2022_Pan,2022,Pan,"Analysis, Design, and Validation of a Vaned Diffuser for Improved Fish Friendliness",collision,Numerical / CFD model,Turbine runner; Pump impeller / casing,Not reported,,Mined,
2022_Romero-Gomezc,2022,Romero-Gomez,The bio-hill chart of a Kaplan turbine,barotrauma,Numerical / CFD model,Turbine runner,Not reported,,Mined,
2022_Watson,2022,Watson,Juvenile Alewife Passage through a Compact Hydropower Turbine,collision,Field - hydropower structure (other),Whole-route (not localised),Immediate; Delayed; Sublethal,48,Mined,
2022_Watsonb,2022,Watson,Safe passage of American Eels through a novel hydropower turbine,collision,Field - Kaplan turbine,Whole-route (not localised),Immediate; Delayed; Sublethal,48,Mined,
2022_Yang,2022,Yang,Effects of operating condition on fish behavior and fish injury in an axial pump,collision; shear,Numerical / CFD model,Turbine runner,Not reported,,Mined,
2022_Zhu,2022,Zhu,Analysis and reduction of the pressure and shear damage probability of fish in a Francis turbine,shear,Numerical / CFD model,Turbine runner,Sublethal,,Mined,
2023_Cox,2023,Cox,Fish Injury from Movements across Hydraulic Structures,barotrauma; collision; shear,Review / synthesis,Various / not applicable,Delayed; Sublethal; Indirect,96,Mined,
