citation_key,year,first_author,title,study_type,doi,local_filename
2012_Jacobsen,2012,Jacobsen,Environmental effects of hydrokinetic turbines on fish desktop and laboratory flume studies,Lab,,2012_Jacobsen_Lab_Environmental effects of hydrokinetic turbines on fish desktop and laboratory flume studies.pdf
2012_Pflugrath,2012,Pflugrath,Maximum Neutral Buoyancy Depth of Juvenile Chinook Salmon Implications for Survival during Hydroturbine Passage,Lab,10.1080/00028487.2012.670187,2012_Pflugrath_Lab_Maximum Neutral Buoyancy Depth of Juvenile Chinook Salmon Implications for Survival during Hydroturbine Passage.pdf
2013_Chamorrow,2013,Chamorrow,Three-dimensional flow visualization in the wake of a miniature axial-flow hydrokinetic turbin,Lab,10.1007/s00348-013-1459-9,2013_Chamorrow_Lab_Three-dimensional flow visualization in the wake of a miniature axial-flow hydrokinetic turbin.pdf
2014_Deng,2014,Deng,Design and implementation of a new autonomous sensor fish to support advanced hydropower development,Lab,10.1063/1.4900543,2014_Deng_Lab_Design and implementation of a new autonomous sensor fish to support advanced hydropower development.pdf
2015_Krakers,2015,Krakers,Full-Scale Validation of a Comprehensive Criterion to Predict Fish-Friendliness of Pumps,Lab,,2015_Krakers_Lab_Full-Scale Validation of a Comprehensive Criterion to Predict Fish-Friendliness of Pumps.pdf
2016_Boys,2016,Boys,A piecewise regression approach for determining biologically relevant hydraulic thresholds for the protection of fishes,Lab,10.1111/jfb.12910,2016_Boys_Lab_A piecewise regression approach for determining biologically relevant hydraulic thresholds for the protection of fishes.pdf
2016_Boysb,2016,Boys,How low can they go with the flow,Lab,10.1242/bio.017491,2016_Boys_Lab_How low can they go with the flow.pdf
2016_Brown,2016,Brown,A preliminary assessment of barotrauma injuries and acclimation studies for three fish species,Lab,,2016_Brown_Lab_A preliminary assessment of barotrauma injuries and acclimation studies for three fish species.pdf
2017_Pflugrath,2017,Pflugrath,Quantifying stressors and predicting injury and mortality in fish passing downstream through weirs and turbines,Lab,10.26190/unsworks/20083,2017_Pflugrath_Lab_Quantifying stressors and predicting injury and mortality in fish passing downstream through weirs and turbines.pdf
2017_Xu,2017,Xu,Experimental investigation on the transport of different fish species in a jet fish pump,Lab,10.1016/j.aquaeng.2017.10.001,2017_Xu_Lab_Experimental investigation on the transport of different fish species in a jet fish pump.pdf
